State,City,Facility ID,Facility Name,Address,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
IN,RENSSELAER,151324,"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,47978,JASPER,(219) 866-5141,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,1949.0,3,07/01/2018,06/30/2019,POINT (-87.138357 40.9336)
IN,NEW ALBANY,150172,PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,47150,FLOYD,(812) 206-7660,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,976.0,3,07/01/2018,06/30/2019,POINT (-85.827064 38.340032)
IA,SIGOURNEY,161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,52591,KEOKUK,(641) 622-2720,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,32.0,3,07/01/2018,06/30/2019,POINT (-92.205125 41.322489)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,SSI - Abdominal Hysterectomy: Number of Procedures,HAI_4_DOPC,Not Available,2.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IA,HAMBURG,161324,GEORGE C GRAPE COMMUNITY HOSPITAL,2959 US HIGHWAY 275,51640,FREMONT,(712) 382-1515,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.055,3,07/01/2018,06/30/2019,POINT (-95.649475 40.620554)
IA,JEFFERSON,161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,50129,GREENE,(515) 386-2114,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-94.38906 42.015217)
ID,RUPERT,131319,MINIDOKA MEMORIAL HOSPITAL,1224 8TH STREET,83350,MINIDOKA,(208) 436-0481,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,1346.0,3,07/01/2018,06/30/2019,POINT (-113.685362 42.619625)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.127,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
GA,CAMILLA,111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,31730,MITCHELL,(229) 336-5284,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.049,3,07/01/2018,06/30/2019,POINT (-84.205091 31.229277)
IA,BRITT,161307,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,50423,HANCOCK,(641) 843-5000,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.806993 43.097818)
IA,CLARION,161302,IOWA SPECIALTY HOSPITAL-CLARION,1316 SOUTH MAIN STREET,50525,WRIGHT,(515) 532-2811,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.732628 42.721625)
GA,CAMILLA,111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,31730,MITCHELL,(229) 336-5284,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,2371.0,3,07/01/2018,06/30/2019,POINT (-84.205091 31.229277)
IL,FLORA,141351,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,62839,CLAY,(618) 662-2131,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-88.470337 38.680917)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,369.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IA,MAQUOKETA,161329,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,52060,JACKSON,(563) 652-2474,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,101.0,3,07/01/2018,06/30/2019,POINT (-90.673132 42.073715)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
ID,OROFINO,131320,CLEARWATER VALLEY HOSPITAL & CLINICS,301 CEDAR STREET,83544,CLEARWATER,(208) 476-4555,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,23.0,3,07/01/2018,06/30/2019,POINT (-116.259916 46.487315)
IA,NEW HAMPTON,161331,MERCY MEDICAL CENTER-NEW HAMPTON,308 NORTH MAPLE AVENUE,50659,CHICKASAW,(641) 394-4121,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,220.0,3,07/01/2018,06/30/2019,POINT (-92.320425 43.062677)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.024,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
IA,HAWARDEN,161311,HAWARDEN REGIONAL HEALTHCARE,1111 11TH STREET,51023,SIOUX,(712) 551-3100,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-96.479427 42.998008)
IN,RENSSELAER,151324,"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,47978,JASPER,(219) 866-5141,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.6,3,07/01/2018,06/30/2019,POINT (-87.138357 40.9336)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,2108.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IL,FLORA,141351,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,62839,CLAY,(618) 662-2131,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.107,3,07/01/2018,06/30/2019,POINT (-88.470337 38.680917)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,91.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
IN,PORTLAND,151320,"INDIANA UNIVERSITY HEALTH JAY, INC.",500 W VOTAW ST,47371,JAY,(260) 726-7131,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.01,3,07/01/2018,06/30/2019,POINT (-84.984105 40.439366)
ID,SODA SPRINGS,131309,CARIBOU MEMORIAL HOSPITAL,300 SOUTH 3RD WEST,83276,CARIBOU,(208) 547-3341,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,30.0,3,07/01/2018,06/30/2019,POINT (-111.613354 42.652235)
IN,SALEM,151314,ST VINCENT SALEM HOSPITAL INC,911 N SHELBY ST,47167,WASHINGTON,(812) 883-5881,SSI - Abdominal Hysterectomy: Observed Cases,HAI_4_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-86.107802 38.613165)
IA,BELMOND,161301,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,50421,WRIGHT,(641) 444-3223,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,266.0,3,07/01/2018,06/30/2019,POINT (-93.612855 42.844988)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,SSI - Colon Surgery: Predicted Cases,HAI_3_ELIGCASES,Not Available,0.195,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
ID,RUPERT,131319,MINIDOKA MEMORIAL HOSPITAL,1224 8TH STREET,83350,MINIDOKA,(208) 436-0481,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.028,3,07/01/2018,06/30/2019,POINT (-113.685362 42.619625)
IL,MCLEANSBORO,141326,HAMILTON MEMORIAL HOSPITAL,611 S MARSHALL AVENUE,62859,HAMILTON,(618) 643-2361,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.015,3,07/01/2018,06/30/2019,POINT (-88.541234 38.087916)
IL,CHICAGO,140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,60649,COOK,(773) 947-7500,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-87.58571 41.757332)
ID,COTTONWOOD,131321,ST MARYS HOSPITAL AND CLINICS,701 LEWISTON ST,83522,IDAHO,(208) 962-3251,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.037,3,07/01/2018,06/30/2019,POINT (-116.351645 46.050371)
IA,SIOUX CENTER,161346,SIOUX CENTER HEALTH,1101 9TH STREET SE,51250,SIOUX,(712) 722-1271,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,54.0,3,07/01/2018,06/30/2019,POINT (-96.159287 43.069685)
ID,JEROME,131310,ST LUKE'S JEROME,709 NORTH LINCOLN AVENUE,83338,JEROME,(208) 814-9500,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-114.51849 42.730293)
ID,EMMETT,131318,VALOR HEALTH,1202 EAST LOCUST STREET,83617,GEM,(208) 365-3561,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,34.0,3,07/01/2018,06/30/2019,POINT (-116.485255 43.879078)
IN,NEW ALBANY,150172,PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,47150,FLOYD,(812) 206-7660,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.077,3,07/01/2018,06/30/2019,POINT (-85.827064 38.340032)
IL,MCLEANSBORO,141326,HAMILTON MEMORIAL HOSPITAL,611 S MARSHALL AVENUE,62859,HAMILTON,(618) 643-2361,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.063,3,07/01/2018,06/30/2019,POINT (-88.541234 38.087916)
IA,HAMBURG,161324,GEORGE C GRAPE COMMUNITY HOSPITAL,2959 US HIGHWAY 275,51640,FREMONT,(712) 382-1515,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-95.649475 40.620554)
IL,MONTICELLO,141301,KIRBY MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,61856,PIATT,(217) 762-2115,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.057,3,07/01/2018,06/30/2019,POINT (-88.56377 40.060163)
IL,METROPOLIS,141323,MASSAC MEMORIAL HOSPITAL,"28 CHICK STREET, PO BOX 850",62960,MASSAC,(618) 524-2176,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.125,3,07/01/2018,06/30/2019,POINT (-88.739578 37.166836)
IA,CORYDON,161358,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,50060,WAYNE,(641) 872-2260,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.31232 40.754492)
IA,SIGOURNEY,161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,52591,KEOKUK,(641) 622-2720,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.007,3,07/01/2018,06/30/2019,POINT (-92.205125 41.322489)
IA,CLARION,161302,IOWA SPECIALTY HOSPITAL-CLARION,1316 SOUTH MAIN STREET,50525,WRIGHT,(515) 532-2811,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.163,3,07/01/2018,06/30/2019,POINT (-93.732628 42.721625)
IA,SIOUX CENTER,161346,SIOUX CENTER HEALTH,1101 9TH STREET SE,51250,SIOUX,(712) 722-1271,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-96.159287 43.069685)
IN,NEW ALBANY,150172,PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,47150,FLOYD,(812) 206-7660,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-85.827064 38.340032)
ID,OROFINO,131320,CLEARWATER VALLEY HOSPITAL & CLINICS,301 CEDAR STREET,83544,CLEARWATER,(208) 476-4555,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-116.259916 46.487315)
IL,RUSHVILLE,141333,SARAH D CULBERTSON MEMORIAL HOSPITAL,238 SOUTH CONGRESS STREET,62681,SCHUYLER,(217) 322-4321,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.248,3,07/01/2018,06/30/2019,POINT (-90.563587 40.117944)
IA,CRESCO,161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,52136,HOWARD,(563) 547-2101,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,258.0,3,07/01/2018,06/30/2019,POINT (-92.117764 43.381891)
IA,SUMNER,161320,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,909 WEST FIRST STREET,50674,BREMER,(563) 578-3275,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-92.109691 42.847422)
ID,BLACKFOOT,130073,GROVE CREEK MEDICAL CENTER,350 NORTH MERIDIAN STREET,83221,BINGHAM,(208) 782-2900,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-112.356124 43.196301)
ID,SODA SPRINGS,131309,CARIBOU MEMORIAL HOSPITAL,300 SOUTH 3RD WEST,83276,CARIBOU,(208) 547-3341,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-111.613354 42.652235)
GA,CAMILLA,111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,31730,MITCHELL,(229) 336-5284,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,2371.0,3,07/01/2018,06/30/2019,POINT (-84.205091 31.229277)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,467.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IA,CORYDON,161358,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,50060,WAYNE,(641) 872-2260,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,248.0,3,07/01/2018,06/30/2019,POINT (-93.31232 40.754492)
IA,SUMNER,161320,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,909 WEST FIRST STREET,50674,BREMER,(563) 578-3275,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.052,3,07/01/2018,06/30/2019,POINT (-92.109691 42.847422)
IL,FLORA,141351,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,62839,CLAY,(618) 662-2131,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.044,3,07/01/2018,06/30/2019,POINT (-88.470337 38.680917)
IL,RUSHVILLE,141333,SARAH D CULBERTSON MEMORIAL HOSPITAL,238 SOUTH CONGRESS STREET,62681,SCHUYLER,(217) 322-4321,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-90.563587 40.117944)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,230.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
IL,ELDORADO,141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,62930,SALINE,(618) 273-3361,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.688,3,07/01/2018,06/30/2019,POINT (-88.441451 37.815332)
GA,ALMA,111327,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,31510,BACON,(912) 632-8961,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-82.459687 31.53911)
GA,COLQUITT,111305,MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,39837,MILLER,(229) 758-4231,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,11.0,3,07/01/2018,06/30/2019,POINT (-84.734548 31.17548)
IA,SIGOURNEY,161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,52591,KEOKUK,(641) 622-2720,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.001,3,07/01/2018,06/30/2019,POINT (-92.205125 41.322489)
ID,MOSCOW,131327,GRITMAN MEDICAL CENTER,700 SOUTH MAIN STREET,83843,LATAH,(208) 882-4511,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.517,3,07/01/2018,06/30/2019,POINT (-117.001406 46.728704)
GA,WASHINGTON,111325,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,30673,WILKES,(706) 678-9212,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.02,3,07/01/2018,06/30/2019,POINT (-82.742388 33.729302)
ID,BLACKFOOT,130073,GROVE CREEK MEDICAL CENTER,350 NORTH MERIDIAN STREET,83221,BINGHAM,(208) 782-2900,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.048,3,07/01/2018,06/30/2019,POINT (-112.356124 43.196301)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IL,MCLEANSBORO,141326,HAMILTON MEMORIAL HOSPITAL,611 S MARSHALL AVENUE,62859,HAMILTON,(618) 643-2361,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,107.0,3,07/01/2018,06/30/2019,POINT (-88.541234 38.087916)
ID,GRANGEVILLE,131315,SYRINGA GENERAL HOSPITAL,607 W MAIN STREET,83530,IDAHO,(208) 983-1700,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,792.0,3,07/01/2018,06/30/2019,POINT (-116.126994 45.926789)
ID,SODA SPRINGS,131309,CARIBOU MEMORIAL HOSPITAL,300 SOUTH 3RD WEST,83276,CARIBOU,(208) 547-3341,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.308,3,07/01/2018,06/30/2019,POINT (-111.613354 42.652235)
GA,WASHINGTON,111325,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,30673,WILKES,(706) 678-9212,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,1000.0,3,07/01/2018,06/30/2019,POINT (-82.742388 33.729302)
GA,CAMILLA,111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,31730,MITCHELL,(229) 336-5284,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-84.205091 31.229277)
IA,BELMOND,161301,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,50421,WRIGHT,(641) 444-3223,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.612855 42.844988)
IA,CHARITON,161341,LUCAS COUNTY HEALTH CENTER,1200 NORTH 7TH STREET,50049,LUCAS,(641) 774-3000,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.303421 41.027693)
IA,JEFFERSON,161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,50129,GREENE,(515) 386-2114,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.067,3,07/01/2018,06/30/2019,POINT (-94.38906 42.015217)
GA,COLQUITT,111305,MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,39837,MILLER,(229) 758-4231,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.003,3,07/01/2018,06/30/2019,POINT (-84.734548 31.17548)
IA,IDA GROVE,161354,HORN MEMORIAL HOSPITAL,701 E 2ND ST,51445,IDA,(712) 364-3311,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,1098.0,3,07/01/2018,06/30/2019,POINT (-95.45891 42.339303)
IL,MCLEANSBORO,141326,HAMILTON MEMORIAL HOSPITAL,611 S MARSHALL AVENUE,62859,HAMILTON,(618) 643-2361,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,869.0,3,07/01/2018,06/30/2019,POINT (-88.541234 38.087916)
IL,HOPEDALE,141330,HOPEDALE HOSPITAL,107 TREMONT STREET,61747,TAZEWELL,(309) 449-4296,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-89.417729 40.418383)
ID,MOSCOW,131327,GRITMAN MEDICAL CENTER,700 SOUTH MAIN STREET,83843,LATAH,(208) 882-4511,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,2344.0,3,07/01/2018,06/30/2019,POINT (-117.001406 46.728704)
IL,MONTICELLO,141301,KIRBY MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,61856,PIATT,(217) 762-2115,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,99.0,3,07/01/2018,06/30/2019,POINT (-88.56377 40.060163)
ID,GRANGEVILLE,131315,SYRINGA GENERAL HOSPITAL,607 W MAIN STREET,83530,IDAHO,(208) 983-1700,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-116.126994 45.926789)
IL,METROPOLIS,141323,MASSAC MEMORIAL HOSPITAL,"28 CHICK STREET, PO BOX 850",62960,MASSAC,(618) 524-2176,Clostridium Difficile (C.Diff),HAI_6_SIR,No Different than National Benchmark,0.736,3,07/01/2018,06/30/2019,POINT (-88.739578 37.166836)
IA,JEFFERSON,161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,50129,GREENE,(515) 386-2114,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.006,3,07/01/2018,06/30/2019,POINT (-94.38906 42.015217)
IL,LAWRENCEVILLE,141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,2200 STATE ST,62439,LAWRENCE,(618) 943-1000,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,145.0,3,07/01/2018,06/30/2019,POINT (-87.69415 38.729518)
IA,BELMOND,161301,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,50421,WRIGHT,(641) 444-3223,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.059,3,07/01/2018,06/30/2019,POINT (-93.612855 42.844988)
IA,GREENFIELD,161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,50849,ADAIR,(641) 743-2123,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.095,3,07/01/2018,06/30/2019,POINT (-94.451927 41.303103)
IA,GREENFIELD,161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,50849,ADAIR,(641) 743-2123,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.007,3,07/01/2018,06/30/2019,POINT (-94.451927 41.303103)
GA,WASHINGTON,111325,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,30673,WILKES,(706) 678-9212,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,2.0,3,07/01/2018,06/30/2019,POINT (-82.742388 33.729302)
GA,QUITMAN,111332,BROOKS COUNTY HOSPITAL,903 N COURT STREET,31643,BROOKS,(912) 263-4171,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.241,3,07/01/2018,06/30/2019,POINT (-83.5595 30.795012)
IL,FLORA,141351,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,62839,CLAY,(618) 662-2131,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-88.470337 38.680917)
IA,CLARION,161302,IOWA SPECIALTY HOSPITAL-CLARION,1316 SOUTH MAIN STREET,50525,WRIGHT,(515) 532-2811,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-93.732628 42.721625)
ID,EMMETT,131318,VALOR HEALTH,1202 EAST LOCUST STREET,83617,GEM,(208) 365-3561,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-116.485255 43.879078)
IA,SUMNER,161320,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,909 WEST FIRST STREET,50674,BREMER,(563) 578-3275,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.015,3,07/01/2018,06/30/2019,POINT (-92.109691 42.847422)
